Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,5-комн,Лубянка,5 мин. пешком,3,"171,5",Евроремонт,1898,,Монолитный,121 500 000 
Вторичка,2-комн,Кропоткинская,,1,65,Дизайнерский,1860,,Панельный,29 000 000 
Вторичка,3-комн,Водный стадион,15 мин. пешком,2,208,Без ремонта,2007,,Монолитный,57 000 000 
Вторичка,3-комн,Шаболовская,9 мин. пешком,5,"125,7",Без ремонта,2016,,Монолитный,42 000 000 
Вторичка Апартаменты,2-комн,Выставочная,3 мин. пешком,24,86,Дизайнерский,2016,,Монолитный,41 244 840 
Вторичка,2-комн,Нахимовский проспект,5 мин. пешком,12,59,Косметический,1981,,Панельный,12 500 000 
Вторичка,1-комн,Авиамоторная,13 мин. пешком,3,"47,5",Без ремонта,,,,10 000 000 
Вторичка Апартаменты,2-комн,Красносельская,4 мин. на транспорте,7,46,Дизайнерский,2017,,Монолитный,15 500 000 
Вторичка,3-комн,Дегунино,15 мин. пешком,2,65,Без ремонта,1975,,Панельный,8 990 000 
Вторичка,2-комн,Профсоюзная,10 мин. пешком,15,"51,2",Евроремонт,2000,,Панельный,15 200 000 
Вторичка,1-комн,Калужская,26 мин. пешком,7,33,Дизайнерский,1963,,Панельный,6 900 000 
Вторичка,5-комн,Серпуховская,12 мин. пешком,6,206,Без ремонта,2013,,Кирпичный,80 000 000 
Вторичка,Студия,Алексеевская,12 мин. пешком,9,"29,55",Косметический,,,,7 623 900 
Вторичка,1-комн,Алексеевская,12 мин. пешком,8,"43,04",Косметический,,,,9 597 520 
Вторичка Пентхаус,Многокомнатная квартира,Проспект Вернадского,4 мин. на транспорте,38,440,Без ремонта,2010,,Монолитный,79 000 000 
Новостройка,2-комн,Выставочная,14 мин. пешком,4,"142,1",,,2020,,96 687 161 
Вторичка,2-комн,Алтуфьево,7 мин. на транспорте,5,"53,9",Евроремонт,2005,,Кирпичный,10 400 000 
Вторичка,2-комн,Ясенево,5 мин. пешком,4,"44,7",Без ремонта,1976,,Монолитный,7 700 000 
Вторичка,1-комн,Крестьянская застава,13 мин. пешком,5,"37,1",Косметический,1974,,Панельный,8 475 000 
Вторичка,1-комн,Войковская,3 мин. пешком,1,"28,6",Косметический,1964,,Кирпичный,6 700 000 
Вторичка,1-комн,Калужская,17 мин. пешком,13,38,Косметический,2005,,Монолитный,8 700 000 
Вторичка,3-комн,Дмитровская,9 мин. пешком,8,66,Евроремонт,1967,,Блочный,12 700 000 
Вторичка,3-комн,Люблино,5 мин. пешком,2,67,Косметический,1976,,Панельный,11 150 000 
Вторичка,Многокомнатная квартира,Пролетарская,11 мин. пешком,13,350,Дизайнерский,2009,,,125 000 000 
Вторичка,1-комн,Бунинская аллея,21 мин. пешком,3,40,Евроремонт,2017,,Монолитный,6 700 000 
Новостройка,1-комн,Авиамоторная,5 мин. на транспорте,13,"48,9",,,2019,,13 523 935 
Вторичка,3-комн,Университет,15 мин. пешком,1,"77,3",Косметический,1965,,Кирпичный,21 700 000 
